gyro_x,gyro_y,gyro_z,time_combined
0.127388522028923,0.4189352691173553,0.0959760621190071,1.6
0.0261594224721193,0.4119539260864258,0.0348895415663719,1.6
0.0017248113872483,0.4154445827007293,0.047106847167015,1.7
0.1134258806705474,0.4259165823459625,0.1064480394124984,1.7
0.0052154697477817,0.4154445827007293,0.0558334924280643,1.8
-0.1675721257925033,0.4102086126804352,0.0505975037813186,1.8
-0.0279457848519086,0.3787926733493805,0.0994667187333107,1.9
-2.0517873053904623e-05,0.4102086126804352,0.029653551056981,1.9
0.0226687621325254,0.4590778350830078,0.0122002605348825,1.1
0.0453580394387245,0.3875193297863006,0.0942307338118553,1.1
-0.08030566573143,0.3595940470695495,0.1169200092554092,1.11
0.1308791786432266,0.3962459862232208,0.0122002605348825,1.11
0.1291338503360748,0.464313805103302,0.0261628944426774,1.12
0.1099352240562439,0.4206805825233459,0.0942307338118553,1.12
-0.0698336884379386,0.3910099864006042,0.0715414509177208,1.13
0.062811329960823,0.3945006430149078,0.0052189431153237,1.13
0.127388522028923,0.4328978955745697,0.0331442132592201,1.14
-0.0558710545301437,0.4346432089805603,0.0663054659962654,1.14
-0.1187029033899307,0.3822833299636841,0.0977213904261589,1.15
-0.0296911131590604,0.3753020167350769,0.0680507943034172,1.15
0.0087061282247304,0.4206805825233459,0.0523428358137607,1.16
0.0610660053789615,0.4625684916973114,0.0767774432897567,1.16
0.0401220545172691,0.403227299451828,0.1012120470404625,1.17
-0.2042240351438522,0.3892646431922912,0.0715414509177208,1.17
0.1343698352575302,0.3805380165576935,0.0977213904261589,1.18
-0.0349271036684513,0.4433698654174804,0.0942307338118553,1.18
0.0069607989862561,0.4520965218544006,0.0889947414398193,1.19
-0.1256842166185379,0.4067179560661316,0.0453615151345729,1.19
-0.00351117644459,0.3910099864006042,0.0087096020579338,1.2
0.0872459411621093,0.448605865240097,-0.07855686545372,1.2
0.0942272618412971,0.4294072389602661,-0.0750662013888359,1.21
-0.0087471641600131,0.3753020167350769,-0.0453956015408039,1.21
-0.0192191395908594,0.3718113601207733,-0.0349236279726028,1.22
0.2006923407316208,0.4311525523662567,-0.0890288352966308,1.22
0.068047322332859,0.4381338655948639,0.017436247318983,1.23
0.0366313941776752,0.3892646431922912,0.0802680999040603,1.23
-0.143137514591217,0.3561033904552459,0.0767774432897567,1.24
0.1308791786432266,0.3770473599433899,0.0505975037813186,1.24
-0.0785603374242782,0.4224259257316589,0.0855040848255157,1.25
-2.0517873053904623e-05,0.4102086126804352,0.123901329934597,1.25
-0.0331817753612995,0.3770473599433899,0.1535719335079193,1.26
0.0296500790864229,0.3264327943325043,0.1535719335079193,1.26
0.0174327753484249,0.3473767638206482,0.1692798882722854,1.27
0.0715379789471626,0.3002528548240661,0.2129131257534027,1.27
