accel_x,accel_y,accel_z,time_combined
0.2995108366012573,-9.089061737060549,-1.0576878786087036,1.6
0.630969762802124,-9.052414894104004,-1.8310850858688357,1.7
-0.0885104313492775,-8.431020736694336,-0.3548149764537811,1.8
-0.0215640179812908,-9.695878028869627,-2.8488612174987797,1.9
0.5476446151733398,-10.726505279541016,-1.272979736328125,1.1
0.155668094754219,-10.018717765808104,-2.741447925567627,1.11
0.6501106023788452,-10.426051139831545,-0.9412217736244202,1.12
-0.1296102404594421,-8.921236038208008,-1.764149188995361,1.13
0.5556426048278809,-9.812226295471191,-0.6976199150085449,1.14
0.2259871661663055,-8.911452293395996,-1.8463996648788448,1.15
0.493591159582138,-10.399700164794922,-2.2172605991363525,1.16
0.28636634349823,-8.998571395874023,-0.0990598499774932,1.17
0.3893123567104339,-9.068838119506836,-2.477417230606079,1.18
-0.2420791536569595,-8.807222366333008,-0.8859866261482239,1.19
-1.1521447896957395,-10.563237190246582,-2.6838185787200928,1.2
0.3411367237567901,-10.642294883728027,-1.1472439765930176,1.21
0.0861211195588111,-10.13563632965088,-2.704819202423096,1.22
1.3657907247543335,-9.974943161010742,-0.7245948314666748,1.23
0.6407291889190674,-8.743878364562988,-2.07350754737854,1.24
1.115440845489502,-9.60451602935791,-1.464528203010559,1.25
0.0037536546587944,-10.013191223144531,-1.7667590379714966,1.26
-1.2639797925949097,-10.181325912475586,-1.9007117748260496,1.27
-2.065526247024536,-8.856303215026855,-1.3838322162628174,1.28
-3.442269325256348,-8.742048263549805,-1.7528523206710815,1.29
-2.78348445892334,-8.581439018249512,-0.9488770365715028,1.3
-2.389565944671631,-10.544034957885742,-2.8541524410247803,1.31
-1.5983450412750244,-10.492513656616213,-1.3779278993606567,1.32
-2.9264862537384038,-12.39712905883789,-5.001932144165039,1.33
-0.6330102682113647,-15.398045539855955,-4.566794872283936,1.34
1.5620410442352295,-12.78798484802246,-1.9934922456741333,1.35
2.0719590187072754,-8.757451057434082,-1.001174807548523,1.36
3.2528281211853027,-5.979560375213623,0.637829601764679,1.37
2.62291955947876,-10.798579216003418,-4.563243865966797,1.38
0.4612865149974823,-13.327911376953123,-2.0406315326690674,1.39
-1.294161319732666,-9.452873229980469,-2.5034101009368896,1.4
-1.335042953491211,-5.434081077575684,0.5025889277458191,1.41
-0.658939003944397,-4.55363130569458,0.4084379374980926,1.42
-0.5762720108032227,-8.113076210021973,-1.0602933168411257,1.43
-0.1860564351081848,-11.129798889160156,-1.252341866493225,1.44
-0.715895414352417,-13.277788162231444,-3.621213674545288,1.45
0.0750306695699691,-9.942777633666992,0.0224198028445243,1.46
0.1364853829145431,-9.461437225341797,-3.0501081943511963,1.47
0.7823269963264465,-10.8235502243042,-0.0952094197273254,1.48
0.2284789681434631,-8.616394996643066,-1.674493670463562,1.49
-0.1479124575853347,-8.703753471374512,-1.692405343055725,1.5
-0.1288687586784362,-9.404377937316896,0.2235113680362701,1.51
-0.1399845778942108,-11.082387924194336,-3.3339524269104004,1.52
-0.4322637915611267,-10.27175235748291,-0.178876593708992,1.53
0.1315818428993225,-8.526715278625488,-1.4282195568084717,1.54
-0.9578853249549866,-8.874009132385254,0.1268201768398285,1.55
0.5719239115715027,-10.15203857421875,-2.5185015201568604,1.56
-0.2544637322425842,-11.821685791015623,-2.1515567302703857,1.57
0.1771138459444046,-8.490991592407227,0.9918566346168518,1.58
0.9196500182151794,-7.415231704711914,-1.201259970664978,1.59
-0.8370426297187805,-9.60340404510498,-0.5423969030380249,1.6
-0.5824222564697266,-12.482364654541016,-3.440093517303467,1.61
-0.174191877245903,-11.17280101776123,-0.917048454284668,1.62
-0.5802740454673767,-8.644882202148438,-1.2946940660476685,1.63
0.8777957558631897,-9.975258827209473,-1.236972689628601,1.64
0.5023153424263,-8.847635269165039,1.062010407447815,1.65
1.027443528175354,-9.185133934020996,-1.6084904670715332,1.66
0.096062034368515,-8.475826263427734,0.6845422387123108,1.67
-0.4140472114086151,-9.827837944030762,-2.2654528617858887,1.68
-0.0942570194602012,-12.008553504943848,-1.716804027557373,1.69
-0.3915736377239227,-9.26901149749756,-0.7271782755851746,1.7
0.136325404047966,-7.751238822937012,0.2706501185894012,1.71
-0.1410446316003799,-7.6028151512146,0.0997988358139991,1.72
-0.2322809845209121,-12.966602325439451,-2.482704162597656,1.73
0.0567218735814094,-11.483390808105469,-0.1667792052030563,1.74
0.4064487516880035,-9.039873123168944,-1.3808633089065552,1.75
0.1429672688245773,-7.243191242218018,0.9292915463447572,1.76
-1.014726638793945,-5.942905902862549,-0.0711358711123466,1.77
-0.9417619705200196,-10.115455627441406,-2.594898462295532,1.78
-2.8087761402130127,-11.56965446472168,0.3525243401527405,1.79
-2.572394132614136,-12.62246322631836,-2.096055030822754,1.8
2.3186299800872803,-9.7398042678833,-0.3881327509880066,1.81
3.9867451190948486,-9.273649215698242,-2.789931058883667,1.81
1.3989239931106567,-10.150144577026367,-0.0649272128939628,1.82
2.3082613945007324,-11.098662376403809,-1.0090954303741455,1.83
-0.0932052433490753,-11.72715187072754,-3.2826690673828125,1.84
-1.5336776971817017,-9.725481986999512,-1.1095948219299316,1.85
-0.5349177718162537,-9.158140182495115,-1.557561278343201,1.86
-1.0084728002548218,-7.192399024963379,0.267328530550003,1.87
-0.0759987086057663,-7.678462505340576,-0.4924002587795257,1.88
-0.8240092992782593,-9.77754020690918,0.0675572231411933,1.89
0.3731381595134735,-11.89692497253418,-1.410603404045105,1.9
-0.2185229510068893,-12.315422058105469,-2.355093717575073,1.91
0.6555858850479126,-10.708648681640623,-1.4188599586486816,1.92
0.2979922890663147,-8.553366661071777,-0.152005061507225,1.93
-0.0947795435786247,-9.049131393432615,-0.8767375349998474,1.94
-0.709847092628479,-8.808788299560547,-1.3289061784744265,1.95
0.0721853300929069,-9.450772285461426,-0.7705865502357483,1.96
-0.3104033768177032,-9.393868446350098,-0.3226342797279358,1.97
0.0188728850334882,-10.489058494567873,-0.6178994178771973,1.98
-0.1313430517911911,-11.015331268310549,-2.0494556427001958,1.99
-0.0681462809443473,-10.200533866882324,-0.5168181657791138,2.0
0.4517044126987457,-8.342473983764648,-1.0052365064620972,2.1
0.0985573306679725,-7.991604804992676,0.7208160758018494,2.2
-0.222680389881134,-8.538444519042969,-1.1386489868164062,2.3
-0.9165506958961488,-10.751215934753418,-1.2999507188796997,2.4
-0.3970149159431457,-11.039100646972656,-1.817672848701477,2.5
-0.0039225630462169,-10.58362865447998,-1.0145047903060913,2.6
0.0620443597435951,-9.758752822875977,-0.5873984098434448,2.7
0.4307743608951568,-9.982988357543944,-0.0012757033109664,2.8
0.4633028507232666,-9.336735725402832,-1.551714539527893,2.9
0.3306765854358673,-9.072226524353027,-0.8396963477134705,2.1
0.5039972066879272,-10.096263885498049,-0.8307796120643616,2.11
-0.0232734251767396,-10.613524436950684,-0.9264125823974608,2.12
-0.0244047380983829,-10.08419132232666,-1.4819382429122925,2.13
